Date,Cured,Deaths,Confirmed
5/1/2020,9065,1152,34972
5/2/2020,9951,1218,37157
5/3/2020,10887,1306,40124
5/4/2020,11762,1389,42836
5/5/2020,13161,1583,46711
5/6/2020,14183,1694,49391
5/7/2020,15267,1783,52952
5/8/2020,16540,1886,56342
5/9/2020,17847,1981,59662
5/10/2020,19358,2109,62939
5/11/2020,20917,2206,67152
5/12/2020,22455,2293,70756
5/13/2020,24386,2415,74281
5/14/2020,26235,2549,78003
5/15/2020,27920,2649,81970
5/16/2020,30153,2752,85710
5/17/2020,34109,2872,90637
5/18/2020,36824,3029,95759
5/19/2020,39174,3163,100325
5/20/2020,42298,3303,106750
5/21/2020,45300,3435,112359
5/22/2020,48534,3583,118447
5/23/2020,51784,3720,125101
5/24/2020,54441,3867,131868
5/25/2020,57721,4021,138845
5/26/2020,60491,4167,145380
5/27/2020,64426,4337,151767
5/28/2020,67692,4531,158333
5/29/2020,71106,4706,165799
5/30/2020,82370,4971,173763
5/31/2020,86984,5164,182143
6/1/2020,91819,5394,190535
6/2/2020,95527,5598,198706
6/3/2020,100303,5815,207615
6/4/2020,104107,6075,216919
6/5/2020,109462,6348,226770
6/6/2020,114073,6642,236657
6/7/2020,119293,6929,246628
6/8/2020,124095,7135,256611
6/9/2020,129215,7466,266598
6/10/2020,135206,7745,276583
6/11/2020,141029,8102,286579
6/12/2020,147195,8498,297535
6/13/2020,154330,8884,308993
6/14/2020,162379,9195,320922
6/15/2020,169798,9520,332424
6/16/2020,180013,9900,343091
6/17/2020,186935,11903,354065
6/18/2020,194325,12237,366946
6/19/2020,204711,12573,380532
6/20/2020,213831,12948,395048
6/21/2020,227756,13254,410461
6/22/2020,237196,13699,425282
6/23/2020,248190,14011,440215
6/24/2020,258685,14476,456183
6/25/2020,271697,14894,473105
6/26/2020,285637,15301,490401
6/27/2020,295881,15685,508953
6/28/2020,309713,16095,528859
6/29/2020,321723,16475,548318
6/30/2020,334822,16893,566840
7/1/2020,347979,17400,585493
7/2/2020,359860,17834,604641
7/3/2020,379892,18213,625544
7/4/2020,394227,18655,648315
7/5/2020,409083,19268,673165
7/6/2020,424433,19693,697413
7/7/2020,439948,20160,719665
7/8/2020,456831,20642,742417
7/9/2020,476378,21129,767296
7/10/2020,495516,21604,793802
7/11/2020,515386,22123,820916
7/12/2020,534621,22674,849553
7/13/2020,553471,23174,878254
7/14/2020,571460,23727,906752
7/15/2020,592032,24309,936181
7/16/2020,612815,24915,968876
7/17/2020,635757,25602,1003832
7/18/2020,653751,26273,1038716
7/19/2020,677423,26816,1077618
7/20/2020,700087,27497,1118043
7/21/2020,724578,28084,1155191
7/22/2020,753050,28732,1192915
7/23/2020,782607,29861,1238635
7/24/2020,817209,30601,1287945
7/25/2020,849432,31358,1336861
7/26/2020,885577,32063,1385522
7/27/2020,917568,32771,1435453
7/28/2020,952743,33425,1483156
7/29/2020,988029,34193,1531669
7/30/2020,1020582,34968,1583792